k,n_patients,n_pos,AUPRC,AUROC
500,118,5,0.16084684684684686,0.7469026548672566
501,117,5,0.23844155844155845,0.7589285714285715
502,116,5,0.16275335775335775,0.7693693693693694
503,115,5,0.16314656149417472,0.7927272727272727
504,114,5,0.11904912027862846,0.7651376146788991
505,114,5,0.12463313522635557,0.7669724770642201
506,113,5,0.15555380370516358,0.7777777777777778
507,113,5,0.19024150452721883,0.7518518518518519
508,112,5,0.21774891774891775,0.7616822429906541
509,112,5,0.18984736355226642,0.7411214953271029
510,109,4,0.24594979835905995,0.8464285714285714
511,108,4,0.5645258103241296,0.860576923076923
512,106,2,0.3333333333333333,0.9471153846153846
513,106,2,0.25,0.9567307692307692
514,106,2,0.25,0.9567307692307694
515,106,2,0.7,0.985576923076923
516,106,2,0.19444444444444442,0.9423076923076924
517,105,2,0.14583333333333331,0.9174757281553398
518,104,2,0.225,0.9509803921568627
519,104,2,0.625,0.9705882352941176
520,104,2,0.5769230769230769,0.946078431372549
521,102,2,0.3088235294117647,0.9199999999999999
522,100,2,0.6,0.9591836734693878
523,99,2,0.3214285714285714,0.9329896907216495
524,99,2,0.5555555555555556,0.9175257731958762
525,98,2,0.5526315789473684,0.9114583333333334
526,97,2,0.5714285714285714,0.936842105263158
527,95,2,0.21929824561403508,0.8978494623655915
528,94,2,0.19642857142857142,0.9184782608695653
529,92,2,0.10833333333333334,0.8666666666666666
530,92,2,0.13247863247863248,0.8944444444444446
531,92,2,0.10989010989010989,0.8666666666666667
532,91,2,0.11513157894736842,0.8651685393258427
533,90,1,0.08333333333333333,0.8764044943820224
534,90,1,0.07142857142857142,0.8595505617977528
535,90,1,0.09090909090909091,0.8876404494382022
536,90,1,0.25,0.9662921348314607
537,89,1,0.5,0.9886363636363638
538,89,1,0.1,0.909090909090909
539,89,1,0.03125,0.6477272727272727
540,88,1,0.029411764705882353,0.6206896551724138
541,88,1,0.030303030303030304,0.632183908045977
542,88,1,0.04,0.7241379310344828
543,88,1,0.03225806451612903,0.6551724137931034
544,88,1,0.03333333333333333,0.6724137931034483
545,88,1,0.02702702702702703,0.5862068965517241
546,87,1,0.0625,0.8255813953488372
